配置code,public
DEFAULT_GROUP|app-gray-whitelist-config,Y
DEFAULT_GROUP|backoffice-qa,Y
DEFAULT_GROUP|cif-datasource-config,Y
SENTINEL_GROUP|cif-degrade-rules,Y
SENTINEL_GROUP|cif-flow-rules,Y
DEFAULT_GROUP|cif-rmq,Y
DEFAULT_GROUP|cif-sentinel-config,Y
DEFAULT_GROUP|cif-sharding-shared,Y
DEFAULT_GROUP|cif-shared,Y
DEFAULT_GROUP|data-exchange-config,Y
DEFAULT_GROUP|datahub-datasource-config,Y
DEFAULT_GROUP|datahub-shared,Y
DEFAULT_GROUP|debit-gateway,Y
DEFAULT_GROUP|debit-gateway-datasource-config,Y
DEFAULT_GROUP|dflbe_test_steven,Y
DEFAULT_GROUP|full-reader-datasource-config,Y
DEFAULT_GROUP|full-reader-sharding,Y
DEFAULT_GROUP|full-reader-shared,Y
DEFAULT_GROUP|fundcheck-config,Y
DEFAULT_GROUP|fundcore-creditcardcenter-shared,Y
DEFAULT_GROUP|fundcore-depositcardcenter-shared,Y
DEFAULT_GROUP|fundinsight-datasource-config,Y
DEFAULT_GROUP|fundinsight-rmq,Y
DEFAULT_GROUP|fundinsight-shared,Y
DEFAULT_GROUP|gateway,Y
DEFAULT_GROUP|gateway-app,Y
DEFAULT_GROUP|gateway-bko,Y
DEFAULT_GROUP|gateway-datasource-config,Y
SENTINEL_GROUP|gateway-degrade-rules,Y
SENTINEL_GROUP|gateway-flow-rules,Y
DEFAULT_GROUP|gateway-mdes,Y
DEFAULT_GROUP|gateway-rmq,Y
DEFAULT_GROUP|gateway-sentinel,Y
DEFAULT_GROUP|gateway-v2,Y
DEFAULT_GROUP|gatewayapp-datasource-config,Y
SENTINEL_GROUP|gatewayapp-degrade-rules,Y
SENTINEL_GROUP|gatewayapp-flow-rules,Y
DEFAULT_GROUP|gatewayapp-rw,Y
DEFAULT_GROUP|gatewaybko-datasource-config,Y
DEFAULT_GROUP|gatewaymdes-datasource-config,Y
DEFAULT_GROUP|global-sharding-shared,Y
DEFAULT_GROUP|loan-datasource-config,Y
DEFAULT_GROUP|loan-shared,Y
DEFAULT_GROUP|marketing-datasource-config,Y
DEFAULT_GROUP|marketing-rmq,Y
DEFAULT_GROUP|marketing-shared,Y
DEFAULT_GROUP|migration-datasource-config,Y
DEFAULT_GROUP|migration-datasource-config-qa,Y
DEFAULT_GROUP|migration-shared,Y
DEFAULT_GROUP|pomelo-gateway-egress,Y
DEFAULT_GROUP|pomelo-gateway-egress-datasource-config,Y
DEFAULT_GROUP|pomelo-gray-whitelist-config,Y
DEFAULT_GROUP|portal,Y
DEFAULT_GROUP|processor-gateway-file,Y
DEFAULT_GROUP|processor-gateway-file-datasource-config,Y
DEFAULT_GROUP|risk-shared,Y
SENTINEL_GROUP|statement-flow-rules,Y
DEFAULT_GROUP|statement-mq-config,Y
DEFAULT_GROUP|statement-rmq,Y
DEFAULT_GROUP|statement-shared,Y
DEFAULT_GROUP|stmt-datasource-config,Y
DEFAULT_GROUP|stmt-sentinel-config,Y
DEFAULT_GROUP|stori-dfl,Y
DEFAULT_GROUP|token-manager-datasource-config,Y
DEFAULT_GROUP|token-manager-shared,Y
DEFAULT_GROUP|trading-datasource-config,Y
SENTINEL_GROUP|trading-flow-rules,Y
DEFAULT_GROUP|trading-rmq,Y
DEFAULT_GROUP|trading-sentinel-config,Y
DEFAULT_GROUP|trading-shared,Y
DEFAULT_GROUP|urule,Y
DEFAULT_GROUP|urule-datasource-config,Y
DEFAULT_GROUP|urule-shared-config,Y
DEFAULT_GROUP|viewx-datasource-config,Y
SENTINEL_GROUP|viewx-degrade-rules,Y
SENTINEL_GROUP|viewx-flow-rules,Y
DEFAULT_GROUP|viewx-sentinel-config,Y
DEFAULT_GROUP|viewx-shared,Y
