app_name,配置code (group|dataId),DEV,QA,BACKUP,GRAY,PROD
backoffice,DEFAULT_GROUP|backoffice,Y,N,Y,N,Y
backoffice,DEFAULT_GROUP|backoffice-gray|gray,N,N,N,Y,N
backoffice,DEFAULT_GROUP|backoffice-qa,N,Y,N,N,N
cif,DEFAULT_GROUP|cif-datasource-config,Y,Y,Y,N,Y
cif,DEFAULT_GROUP|cif-datasource-config-gray|gray,N,N,N,Y,N
cif,DEFAULT_GROUP|cif-sharding-shared,Y,Y,Y,N,Y
cif,DEFAULT_GROUP|cif-sharding-shared|gray,N,N,N,Y,N
cif,DEFAULT_GROUP|cif-shared,Y,Y,Y,N,Y
cif,DEFAULT_GROUP|cif-shared-gray|gray,N,N,N,Y,N
datahub,DEFAULT_GROUP|datahub-datasource-config,Y,Y,Y,N,Y
datahub,DEFAULT_GROUP|datahub-datasource-config-gray|gray,N,N,N,Y,N
datahub,DEFAULT_GROUP|datahub-shared,Y,Y,Y,N,Y
datahub,DEFAULT_GROUP|datahub-shared-gray|gray,N,N,N,Y,N
debit-gateway,DEFAULT_GROUP|debit-gateway,Y,Y,Y,N,Y
debit-gateway,DEFAULT_GROUP|debit-gateway-datasource-config,Y,Y,Y,N,Y
debit-gateway,DEFAULT_GROUP|debit-gateway-datasource-config|gray,N,N,N,Y,N
debit-gateway,DEFAULT_GROUP|debit-gateway|gray,N,N,N,Y,N
dflbe,DEFAULT_GROUP|stori-dfl,Y,Y,Y,N,Y
dflbe,DEFAULT_GROUP|stori-dfl|gray,N,N,N,Y,N
fundcheck,DEFAULT_GROUP|fundcheck-config,Y,Y,Y,N,Y
fundinsight,DEFAULT_GROUP|fundinsight-datasource-config,Y,Y,Y,N,Y
fundinsight,DEFAULT_GROUP|fundinsight-rmq,Y,Y,Y,N,Y
fundinsight,DEFAULT_GROUP|fundinsight-shared,Y,Y,Y,N,Y
gateway,DEFAULT_GROUP|gateway-datasource-config,Y,Y,Y,N,Y
gateway,DEFAULT_GROUP|gateway-datasource-config|gray,N,N,N,Y,N
gateway,DEFAULT_GROUP|gateway-v2,Y,Y,Y,N,Y
gateway,DEFAULT_GROUP|gateway-v2|gray,N,N,N,Y,N
gatewayapp,DEFAULT_GROUP|gateway-app,Y,Y,Y,N,Y
gatewayapp,DEFAULT_GROUP|gateway-app|gray,N,N,N,Y,N
gatewayapp,DEFAULT_GROUP|gatewayapp-datasource-config,Y,Y,Y,N,Y
gatewayapp,DEFAULT_GROUP|gatewayapp-datasource-config|gray,N,N,N,Y,N
gatewayapp,DEFAULT_GROUP|gatewayapp-rw,Y,Y,Y,N,Y
gatewayapp,DEFAULT_GROUP|gatewayapp-rw|gray,N,N,N,Y,N
gatewaybko,DEFAULT_GROUP|gateway-bko,Y,Y,Y,N,Y
gatewaybko,DEFAULT_GROUP|gateway-bko|gray,N,N,N,Y,N
gatewaybko,DEFAULT_GROUP|gatewaybko-datasource-config,Y,Y,Y,N,Y
gatewaybko,DEFAULT_GROUP|gatewaybko-datasource-config|gray,N,N,N,Y,N
gatewayegress,DEFAULT_GROUP|pomelo-gateway-egress,Y,Y,Y,N,Y
gatewayegress,DEFAULT_GROUP|pomelo-gateway-egress-datasource-config,Y,Y,Y,N,Y
gatewayegress,DEFAULT_GROUP|pomelo-gateway-egress-datasource-config|gray,N,N,N,Y,N
gatewayegress,DEFAULT_GROUP|pomelo-gateway-egress|gray,N,N,N,Y,N
gatewayfile,DEFAULT_GROUP|processor-gateway-file,Y,Y,Y,N,Y
gatewayfile,DEFAULT_GROUP|processor-gateway-file-datasource-config,Y,Y,Y,N,Y
gatewayfile,DEFAULT_GROUP|processor-gateway-file-datasource-config|gray,N,N,N,Y,N
gatewayfile,DEFAULT_GROUP|processor-gateway-file|gray,N,N,N,Y,N
gatewaymdes,DEFAULT_GROUP|gateway-mdes,Y,Y,Y,N,Y
gatewaymdes,DEFAULT_GROUP|gateway-mdes|gray,N,N,N,Y,N
gatewaymdes,DEFAULT_GROUP|gatewaymdes-datasource-config,Y,Y,Y,N,Y
gatewaymdes,DEFAULT_GROUP|gatewaymdes-datasource-config|gray,N,N,N,Y,N
infrastructure,DEFAULT_GROUP|global-sharding-shared,Y,Y,Y,N,Y
infrastructure,DEFAULT_GROUP|global-sharding-shared|gray,N,N,N,Y,N
loan,DEFAULT_GROUP|loan-datasource-config,Y,Y,Y,N,Y
loan,DEFAULT_GROUP|loan-datasource-config-gray|gray,N,N,N,Y,N
loan,DEFAULT_GROUP|loan-shared,Y,Y,Y,N,Y
loan,DEFAULT_GROUP|loan-shared-gray|gray,N,N,N,Y,N
marketing,DEFAULT_GROUP|marketing-datasource-config,Y,Y,Y,N,Y
marketing,DEFAULT_GROUP|marketing-datasource-config-gray|gray,N,N,N,Y,N
marketing,DEFAULT_GROUP|marketing-rmq,Y,Y,N,N,N
marketing,DEFAULT_GROUP|marketing-shared,Y,Y,Y,N,Y
marketing,DEFAULT_GROUP|marketing-shared-gray|gray,N,N,N,Y,N
risk,DEFAULT_GROUP|risk-shared,Y,Y,Y,N,Y
risk,DEFAULT_GROUP|risk-shared-gray|gray,N,N,N,Y,N
statement,DEFAULT_GROUP|statement-mq-config,Y,Y,Y,N,Y
statement,DEFAULT_GROUP|statement-mq-config-gray|gray,N,N,N,Y,N
statement,DEFAULT_GROUP|statement-rmq,N,Y,N,N,N
statement,DEFAULT_GROUP|statement-shared,Y,Y,Y,N,Y
statement,DEFAULT_GROUP|statement-shared-gray|gray,N,N,N,Y,N
statement,DEFAULT_GROUP|stmt-datasource-config,Y,Y,Y,N,Y
statement,DEFAULT_GROUP|stmt-datasource-config-gray|gray,N,N,N,Y,N
token-manager,DEFAULT_GROUP|token-manager-datasource-config,Y,Y,Y,N,Y
token-manager,DEFAULT_GROUP|token-manager-datasource-config|gray,N,N,N,Y,N
token-manager,DEFAULT_GROUP|token-manager-shared,Y,Y,Y,N,Y
token-manager,DEFAULT_GROUP|token-manager-shared|gray,N,N,N,Y,N
trading,DEFAULT_GROUP|trading-datasource-config,Y,Y,Y,N,Y
trading,DEFAULT_GROUP|trading-datasource-config-gray|gray,N,N,N,Y,N
trading,DEFAULT_GROUP|trading-rmq,Y,Y,N,N,N
trading,DEFAULT_GROUP|trading-sentinel-config,Y,N,N,N,N
trading,DEFAULT_GROUP|trading-shared,Y,Y,Y,N,Y
trading,DEFAULT_GROUP|trading-shared-gray|gray,N,N,N,Y,N
urule,DEFAULT_GROUP|urule,Y,Y,Y,N,Y
urule,DEFAULT_GROUP|urule-datasource-config,Y,Y,Y,N,Y
urule,DEFAULT_GROUP|urule-datasource-config|gray,N,N,N,Y,N
urule,DEFAULT_GROUP|urule-shared-config,Y,Y,Y,N,Y
urule,DEFAULT_GROUP|urule-shared-config|gray,N,N,N,Y,N
urule,DEFAULT_GROUP|urule|gray,N,N,N,Y,N
viewx,DEFAULT_GROUP|viewx-datasource-config,Y,Y,Y,N,Y
viewx,DEFAULT_GROUP|viewx-datasource-config-gray|gray,N,N,N,Y,N
viewx,DEFAULT_GROUP|viewx-shared,Y,Y,Y,N,Y
viewx,DEFAULT_GROUP|viewx-shared-gray|gray,N,N,N,Y,N
